term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;pt-PT;pt-PT_description
About;;no;yes;no;;About;;Sobre;
About my team;;no;yes;no;;About my team;;Sobre a minha equipa;
Absence;;no;yes;no;;Absence;;Ausência;
Accept;;no;yes;no;;Accept;;Aceitar;
Accepted;;no;yes;no;;Accepted;;Aceite;
Account;;no;yes;no;;Account;;Conta;
Achievement;;no;yes;no;;Achievement;;Conquista;
Achievement summary;;no;yes;no;;Achievement summary;;Resumo de conquistas;
Action;;no;yes;no;;Action;;Ação;
Action required;;no;yes;no;;Action required;;Ação necessária;
Actions;;no;yes;no;;Actions;;Ações;
Actions required;;no;yes;no;;Actions required;;Ações necessárias;
Activate;;no;yes;no;;Activate;;Ativar;
Active;;no;yes;no;;Active;;Ativo;
Active users;;no;yes;no;;Active users;;Utilizadores ativos;
Actor;;no;yes;no;;Actor;;Ator;
Add;;no;yes;no;;Add;;Adicionar;
Add all;;no;yes;no;;Add all;;Adicionar todos;
Add all company;;no;yes;no;;Add all company;;Adicionar toda a empresa;
Add all organizational units;;no;yes;no;;Add all organizational units;;Adicionar todas as unidades organizacionais;
Add condition;;no;yes;no;;Add condition;;Adicionar condição;
Add feedback note;;no;yes;no;;Add feedback note;;Adicionar nota de feedback;
Add field;;no;yes;no;;Add field;;Adicionar campo;
Add mapping;;no;yes;no;;Add mapping;;Adicionar mapeamento;
Add note;;no;yes;no;;Add note;;Adicionar nota;
Add question;;no;yes;no;;Add question;;Adicionar pergunta;
Add skills;;no;yes;no;;Add skills;;Adicionar competências;
Add step;;no;yes;no;;Add step;;Adicionar passo;
Addition;;no;yes;no;;Addition;;Adição;
Additional Managers;;no;yes;no;;Additional Managers;;Gestores adicionais;
Additional goal description;;no;yes;no;;Additional goal description;;Descrição adicional do objetivo;
Additional information;;no;yes;no;;Additional information;;Informação adicional;
Additional manager;;no;yes;no;;Additional manager;;Gestor adicional;
Additional managers;;no;yes;no;;Additional managers;;Gestores adicionais;
Additional review;;no;yes;no;;Additional review;;Avaliação adicional;
Administration;;no;yes;no;;Administration;;Administração;
Advanced;;no;yes;no;;Advanced;;Avançado;
After;;no;yes;no;;After;;Depois;
Alert;;no;yes;no;;Alert;;Alerta;
Alerts;;no;yes;no;;Alerts;;Alertas;
Aligned with goal;;no;yes;no;;Aligned with goal;;Alinhado com o objetivo;
Alignment;;no;yes;no;;Alignment;;Alinhamento;
All company;;no;yes;no;;All company;;Toda a empresa;
All criteria;;no;yes;no;;All criteria;;Todos os critérios;
All locations;;no;yes;no;;All locations;;Todas as localizações;
All organizational units;;no;yes;no;;All organizational units;;Todas as unidades organizacionais;
All participants;;no;yes;no;;All participants;;Todos os participantes;
All results;;no;yes;no;;All results;;Todos os resultados;
All roles;;no;yes;no;;All roles;;Todas as funções;
All updates;;no;yes;no;;All updates;;Todas as atualizações;
Analyses;;no;yes;no;;Analyses;;Análises;
Analysis;;no;yes;no;;Analysis;;Análise;
Analytics;;no;yes;no;;Analytics;;Análises;
Anonymization;;no;yes;no;;Anonymization;;Anonimização;
Answer type;;no;yes;no;;Answer type;;Tipo de resposta;
Anyone;;no;yes;no;;Anyone;;Alguém;
Anyone in the company;;no;yes;no;;Anyone in the company;;Qualquer pessoa na empresa;
Appearance;;no;yes;no;;Appearance;;Aparência;
Apply;;no;yes;no;;Apply;;Aplicar;
Apply filters;;no;yes;no;;Apply filters;;Aplicar filtros;
Approve;;no;yes;no;;Approve;;Aprovar;
Approved;;no;yes;no;;Approved;;Aprovado;
Archived;;no;yes;no;;Archived;;Arquivado;
Assign;;no;yes;no;;Assign;;Atribuir;
Assign to;;no;yes;no;;Assign to;;Atribuir a;
Assigned;;no;yes;no;;Assigned;;Atribuído;
Assigned reviews;;no;yes;no;;Assigned reviews;;Avaliações atribuídas;
Assigned to;;no;yes;no;;Assigned to;;Atribuído a;
Assignment;;no;yes;no;;Assignment;;Atribuição;
Assignment permissions;;no;yes;no;;Assignment permissions;;Permissões de atribuição;
At least one number;;no;yes;no;;At least one number;;Pelo menos um número;
At risk;;no;yes;no;;At risk;;Em risco;
Attached document;;no;yes;no;;Attached document;;Documento anexo;
Attachments;;no;yes;no;;Attachments;;Anexos;
Audit;;no;yes;no;;Audit;;Auditoria;
Audit trail;;no;yes;no;;Audit trail;;Registo de auditoria;
Auto-suggestion;;no;yes;no;;Auto-suggestion;;Sugestão automática;
Available;;no;yes;no;;Available;;Disponível;
Average score;;no;yes;no;;Average score;;Pontuação média;
Average total score;;no;yes;no;;Average total score;;Pontuação total média;
Avg. word count;;no;yes;no;;Avg. word count;;Contagem média de palavras;
Back;;no;yes;no;;Back;;Voltar;
Basic Information;;no;yes;no;;Basic Information;;Informações básicas;
Basic information;;no;yes;no;;Basic information;;Informação básica;
Before;;no;yes;no;;Before;;Antes;
Behavior;;no;yes;no;;Behavior;;Comportamento;
Behavior libraries;;no;yes;no;;Behavior libraries;;Bibliotecas de comportamento;
Behavior library;;no;yes;no;;Behavior library;;Biblioteca de comportamentos;
Behavior profile;;no;yes;no;;Behavior profile;;Perfil de comportamento;
Behavior wheel;;no;yes;no;;Behavior wheel;;Roda de comportamento;
Behaviors;;no;yes;no;;Behaviors;;Comportamentos;
Behaviors sent;;no;yes;no;;Behaviors sent;;Comportamentos enviados;
Benchmarking;;no;yes;no;;Benchmarking;;Avaliação comparativa;
Blank values;;no;yes;no;;Blank values;;Valores em branco;
Blocked;;no;yes;no;;Blocked;;Bloqueado;
Bonus;;no;yes;no;;Bonus;;Bónus;
Bonus Plans;;no;yes;no;;Bonus Plans;;Planos de bónus;
Bonus amount;;no;yes;no;;Bonus amount;;Montante do bónus;
Bonus calculation equation;;no;yes;no;;Bonus calculation equation;;Equação de cálculo de bónus;
Bonus calculation formula;;no;yes;no;;Bonus calculation formula;;Fórmula de cálculo de bónus;
Bonus plan;;no;yes;no;;Bonus plan;;Plano de bónus;
Bonus plans;;no;yes;no;;Bonus plans;;Planos de bónus;
Boolean;;no;yes;no;;Boolean;;Booleano;
Budget;;no;yes;no;;Budget;;Orçamento;
Budget rule;;no;yes;no;;Budget rule;;Regra de orçamento;
Builder;;no;yes;no;;Builder;;Construtor;
Business;;no;yes;no;;Business;;Negócio;
Calculated;;no;yes;no;;Calculated;;Calculado;
Calculated bonus;;no;yes;no;;Calculated bonus;;Bónus calculado;
Calculated column;;no;yes;no;;Calculated column;;Coluna calculada;
Calculation;;no;yes;no;;Calculation;;Cálculo;
Calculation workspace;;no;yes;no;;Calculation workspace;;Área de trabalho de cálculo;
Calibration;;no;yes;no;;Calibration;;Calibração;
Can edit;;no;yes;no;;Can edit;;Pode editar;
Can view;;no;yes;no;;Can view;;Pode ver;
Cancel;;no;yes;no;;Cancel;;Cancelar;
Canceled;;no;yes;no;;Canceled;;Cancelado;
Career Development;;no;yes;no;;Career Development;;Desenvolvimento de carreira;
Career Development Plans;;no;yes;no;;Career Development Plans;;Planos de desenvolvimento de carreira;
Career Development Settings;;no;yes;no;;Career Development Settings;;Definições de Desenvolvimento de Carreira;
Career development;;no;yes;no;;Career development;;Desenvolvimento de carreira;
Career development plan;;no;yes;no;;Career development plan;;Plano de desenvolvimento de carreira;
Career development plans;;no;yes;no;;Career development plans;;Planos de desenvolvimento de carreira;
Career development settings;;no;yes;no;;Career development settings;;Configurações de desenvolvimento de carreira;
Career plan questionnaire;;no;yes;no;;Career plan questionnaire;;Questionário de plano de carreira;
Career plans;;no;yes;no;;Career plans;;Planos de carreira;
Categories;;no;yes;no;;Categories;;Categorias;
Category;;no;yes;no;;Category;;Categoria;
Challenge process;;no;yes;no;;Challenge process;;Processo de contestação;
Challenge review;;no;yes;no;;Challenge review;;Avaliação do desafio;
Challenged;;no;yes;no;;Challenged;;Desafiado;
Change;;no;yes;no;;Change;;Alterar;
Change workflow step;;no;yes;no;;Change workflow step;;Alterar etapa do fluxo de trabalho;
Check-in Details;;no;yes;no;;Check-in Details;;Detalhes do Check-in;
Check-in Status;;no;yes;no;;Check-in Status;;Estado do Check-in;
Check-in date;;no;yes;no;;Check-in date;;Data do check-in;
Check-in with;;no;yes;no;;Check-in with;;Check-in com;
Check-ins created;;no;yes;no;;Check-ins created;;Check-ins criados;
Choose one;;no;yes;no;;Choose one;;Escolha um;
City;;no;yes;no;;City;;Cidade;
Clear;;no;yes;no;;Clear;;Limpar;
Clear all;;no;yes;no;;Clear all;;Limpar tudo;
Clear all filters;;no;yes;no;;Clear all filters;;Limpar todos os filtros;
Clear all filters & search;;no;yes;no;;Clear all filters & search;;Limpar todos os filtros e pesquisa;
Clear all filters and search;;no;yes;no;;Clear all filters and search;;Limpar todos os filtros e pesquisar;
Clear filters;;no;yes;no;;Clear filters;;Limpar filtros;
