term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;tr-TR;tr-TR_description
About;;no;yes;no;;About;;Hakkında;
About my team;;no;yes;no;;About my team;;Ekibim hakkında;
Absence;;no;yes;no;;Absence;;Devamsızlık;
Accept;;no;yes;no;;Accept;;Onayla;
Accepted;;no;yes;no;;Accepted;;Kabul Edildi;
Account;;no;yes;no;;Account;;Hesap;
Achievement;;no;yes;no;;Achievement;;Başarı;
Achievement summary;;no;yes;no;;Achievement summary;;Başarı özeti;
Action;;no;yes;no;;Action;;Eylem;
Action required;;no;yes;no;;Action required;;Eylem gerekli;
Actions;;no;yes;no;;Actions;;Eylemler;
Actions required;;no;yes;no;;Actions required;;Gerekli eylemler;
Activate;;no;yes;no;;Activate;;Etkinleştir;
Active;;no;yes;no;;Active;;Aktif;
Active users;;no;yes;no;;Active users;;Aktif kullanıcılar;
Actor;;no;yes;no;;Actor;;Aktör;
Add;;no;yes;no;;Add;;Ekle;
Add all;;no;yes;no;;Add all;;Tümünü ekle;
Add all company;;no;yes;no;;Add all company;;Tüm şirketi ekle;
Add all organizational units;;no;yes;no;;Add all organizational units;;Tüm organizasyon birimlerini ekleyin;
Add condition;;no;yes;no;;Add condition;;Koşul ekle;
Add feedback note;;no;yes;no;;Add feedback note;;Geri bildirimlere ilişkin notu ekle;
Add field;;no;yes;no;;Add field;;Alan ekle;
Add mapping;;no;yes;no;;Add mapping;;Eşleştirme ekle;
Add note;;no;yes;no;;Add note;;Not ekle;
Add question;;no;yes;no;;Add question;;Soru ekle;
Add skills;;no;yes;no;;Add skills;;Beceri ekleyin;
Add step;;no;yes;no;;Add step;;Adım ekle;
Addition;;no;yes;no;;Addition;;Ekleme;
Additional Managers;;no;yes;no;;Additional Managers;;Ek Yöneticiler;
Additional goal description;;no;yes;no;;Additional goal description;;Ek hedef açıklaması;
Additional information;;no;yes;no;;Additional information;;Ek bilgiler;
Additional manager;;no;yes;no;;Additional manager;;Ek yönetici;
Additional managers;;no;yes;no;;Additional managers;;Ek yöneticiler;
Additional review;;no;yes;no;;Additional review;;Ek değerlendirme;
Administration;;no;yes;no;;Administration;;Yönetim;
Advanced;;no;yes;no;;Advanced;;Gelişmiş;
After;;no;yes;no;;After;;Sonra;
Agenda;;no;yes;no;;Agenda;;Gündem;
Alert;;no;yes;no;;Alert;;Uyarı;
Alerts;;no;yes;no;;Alerts;;Uyarılar;
Aligned with goal;;no;yes;no;;Aligned with goal;;Hedefle uyumlu hale getirildi;
Alignment;;no;yes;no;;Alignment;;Hizalama;
All company;;no;yes;no;;All company;;Tüm şirket;
All criteria;;no;yes;no;;All criteria;;Tüm kriterler;
All locations;;no;yes;no;;All locations;;Tüm lokasyonlar;
All organizational units;;no;yes;no;;All organizational units;;Tüm organizasyon birimleri;
All participants;;no;yes;no;;All participants;;Tüm katılımcılar;
All results;;no;yes;no;;All results;;Tüm sonuçlar;
All roles;;no;yes;no;;All roles;;Tüm görevler;
All updates;;no;yes;no;;All updates;;Tüm güncellemeler;
Analyses;;no;yes;no;;Analyses;;Analizler;
Analysis;;no;yes;no;;Analysis;;Analiz;
Anonymization;;no;yes;no;;Anonymization;;Anonimleştirme;
Answer type;;no;yes;no;;Answer type;;Yanıt türü;
Anyone;;no;yes;no;;Anyone;;Herkes;
Anyone in the company;;no;yes;no;;Anyone in the company;;Şirketteki herkes;
Appearance;;no;yes;no;;Appearance;;Görünüm;
Apply;;no;yes;no;;Apply;;Uygula;
Apply filters;;no;yes;no;;Apply filters;;Filtreleri uygula;
Approve;;no;yes;no;;Approve;;Onayla;
Approved;;no;yes;no;;Approved;;Onaylandı;
Archived;;no;yes;no;;Archived;;Arşivlendi;
Assign;;no;yes;no;;Assign;;Ata;
Assign to;;no;yes;no;;Assign to;;Atama yap;
Assigned;;no;yes;no;;Assigned;;Atanan;
Assigned reviews;;no;yes;no;;Assigned reviews;;Atanan değerlendirmeler;
Assigned to;;no;yes;no;;Assigned to;;Şuraya atandı;
Assignment;;no;yes;no;;Assignment;;Atama;
Assignment permissions;;no;yes;no;;Assignment permissions;;Atama izinleri;
At least one number;;no;yes;no;;At least one number;;En az bir sayı;
At risk;;no;yes;no;;At risk;;Risk altında;
Attached document;;no;yes;no;;Attached document;;Ekteki belge;
Attachments;;no;yes;no;;Attachments;;Ekler;
Audit;;no;yes;no;;Audit;;Denetim;
Audit trail;;no;yes;no;;Audit trail;;Denetim izi;
Auto-suggestion;;no;yes;no;;Auto-suggestion;;Otomatik öneri;
Available;;no;yes;no;;Available;;Mevcut;
Average score;;no;yes;no;;Average score;;Ortalama puan;
Average total score;;no;yes;no;;Average total score;;Ortalama toplam puan;
Avg. word count;;no;yes;no;;Avg. word count;;Ort. kelime sayısı;
Back;;no;yes;no;;Back;;Geri;
Basic Information;;no;yes;no;;Basic Information;;Temel bilgiler;
Basic information;;no;yes;no;;Basic information;;Temel bilgiler;
Before;;no;yes;no;;Before;;Önce;
Behavior;;no;yes;no;;Behavior;;Davranış;
Behavior libraries;;no;yes;no;;Behavior libraries;;Davranış kitaplıkları;
Behavior library;;no;yes;no;;Behavior library;;Davranış kitaplığı;
Behavior profile;;no;yes;no;;Behavior profile;;Davranış profili;
Behavior wheel;;no;yes;no;;Behavior wheel;;Davranış çarkı;
Behaviors;;no;yes;no;;Behaviors;;Davranışlar;
Behaviors sent;;no;yes;no;;Behaviors sent;;Gönderilen davranışlar;
Benchmarking;;no;yes;no;;Benchmarking;;Kıyaslama;
Blank values;;no;yes;no;;Blank values;;Boş değerler;
Blocked;;no;yes;no;;Blocked;;Engellendi;
Bonus Plans;;no;yes;no;;Bonus Plans;;Bonus Planları;
Bonus amount;;no;yes;no;;Bonus amount;;Bonus tutarı;
Bonus calculation equation;;no;yes;no;;Bonus calculation equation;;Bonus hesaplama denklemi;
Bonus calculation formula;;no;yes;no;;Bonus calculation formula;;Prim hesaplama formülü;
Bonus plan;;no;yes;no;;Bonus plan;;Prim planı;
Bonus plans;;no;yes;no;;Bonus plans;;Prim planları;
Budget;;no;yes;no;;Budget;;Bütçe;
Budget rule;;no;yes;no;;Budget rule;;Bütçe kuralı;
Builder;;no;yes;no;;Builder;;Oluşturucu;
Business;;no;yes;no;;Business;;İşletme;
Calculated;;no;yes;no;;Calculated;;Hesaplanan;
Calculated bonus;;no;yes;no;;Calculated bonus;;Hesaplanan bonus;
Calculated column;;no;yes;no;;Calculated column;;Hesaplanan sütun;
Calculation;;no;yes;no;;Calculation;;Hesaplama;
Calculation workspace;;no;yes;no;;Calculation workspace;;Hesaplama çalışma alanı;
Calibration;;no;yes;no;;Calibration;;Kalibrasyon;
Can edit;;no;yes;no;;Can edit;;Düzenleyebilir;
Can view;;no;yes;no;;Can view;;Görüntüleyebilir;
Cancel;;no;yes;no;;Cancel;;İptal;
Canceled;;no;yes;no;;Canceled;;İptal Edildi;
Career Development;;no;yes;no;;Career Development;;Kariyer Gelişimi;
