Category,Guideline
Language,Portuguese (Portugal) - European Portuguese
Reference language,en-US (American English)
,
--- VOICE & TONE ---,
Formality / Register,"Formal register. Third-person constructions (implicit voce): Selecione..., Tem a certeza..., As suas alteracoes..."
Tone,Professional and formal. European Portuguese phrasing (Tem a certeza de que deseja...).
Gender inclusivity,Standard Portuguese gendered forms. Trabalhadores/colaboradores for workers.
,
--- TYPOGRAPHY & FORMATTING ---,
Capitalization,Portuguese rules: minimal capitalization.
Quotation marks,Standard double quotes. Uses Widget de X pattern with preposition de.
Punctuation,Standard European Portuguese. Colons for labels.
Number formatting,{{variable}} placeholders preserved. MB for megabytes.
,
--- LANGUAGE PATTERNS ---,
Compound words,"Preposition-linked: Configuracoes de comportamento, Bibliotecas de comportamento, Detalhes do campo."
English loanwords,"Kept: Check-in(s), Widget, Analytics Hub, Feedback, Data Modeler, PII, API, CSV, SFTP. European Portuguese-specific: ficheiro (file, not arquivo), ligacao (link), transferir (download)."
Verbs in buttons,"Imperative/subjunctive for buttons: Publicar, Cancelar, Actualizar. Instructions: Selecione..., Defina..."
,
--- UI STRING PATTERNS ---,
UI patterns,Enable: Ativar a funcionalidade X or Ativar o widget X. Confirmations: Tem a certeza de que deseja...? Success: ...com sucesso. Empty states: Ainda nao ha...
,
--- KEY TERMINOLOGY ---,
Terminology mapping,Check-in=Check-in; Review=Avaliacao; Goal=Objetivo; Worker=Trabalhador/Colaborador; Manager=Gestor; Compensation=Compensacao; Behavior=Comportamento; Career Development=Desenvolvimento de carreira; Settings=Configuracoes/Definicoes; Feature=Funcionalidade; Download=Transferir; File=Ficheiro; Link=Ligacao
