term,description,casesensitive,translatable,forbidden,tags,en-US,en-US_description,fr-FR,fr-FR_description,de-DE,de-DE_description,es-ES,es-ES_description,it-IT,it-IT_description,is-IS,is-IS_description,sv-SE,sv-SE_description
Above max compensation analysis,,FALSE,TRUE,FALSE,PayAnalytics,Above max compensation analysis,,Analyse de rémunération au dessus du max.,,Analyse über max. Gehalt,,Análisis de remuneración por encima del máx.,,Analisi retribuzione al di sopra del massimo,,Hámarks-launagreining,,Analys av löner över högsta,
Additional compensation settings,,FALSE,TRUE,FALSE,PayAnalytics,Additional compensation settings,,Paramètres de rémunération supplémentaires,,Zusätzliche Vergütungseinstellungen,,Ajustes adicionales de la remuneración,,Impostazioni di retribuzione aggiuntive.,,Viðbótarstillingar fyrir laun,,Ytterligare löneinställningar,
Adjust for other compensation,,FALSE,TRUE,FALSE,PayAnalytics,Adjust for other compensation,,Ajuster pour d'autres rémunérations,,Anpassung für sonstige Vergütungen,,Ajustar para otras remuneraciones,,Rettifica per altre retribuzioni,,Aðlaga að öðrum launum,,Justera för övrig ersättning,
Adjusted gender pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Adjusted gender pay gap,,Écart de rémunération ajusté entre les femmes et les hommes,,Bereinigte Lohnlücke,,Brecha salarial de género ajustada,,Differenza retributiva di genere rettificata,,Leiðrétt launabil kynja,,Justerad löneskillnad mellan könen,
Adjusted pay gap,,FALSE,TRUE,FALSE,PayAnalytics,Adjusted pay gap,,Écart salarial ajusté,,Bereinigte Lohnlücke,,Brecha salarial ajustada,,Divario retributivo rettificato,,Leiðrétt launabil,,Justerat lönegap,
Adjusted pay gap after raises,,FALSE,TRUE,FALSE,PayAnalytics,Adjusted pay gap after raises,,Écart salarial ajusté après les augmentations,,Angepasstes Lohngefälle nach Gehaltserhöhungen,,Brecha salarial ajustada tras los aumentos,,Differenza retributiva rettificata dopo gli aumenti,,Leiðrétt launabil eftir hækkanir,,Justerad löneskillnad efter höjningar,
Adjusted pay gap before raises,,FALSE,TRUE,FALSE,PayAnalytics,Adjusted pay gap before raises,,Écart salarial ajusté avant les augmentations,,Bereinigtes Lohngefälle vor Gehaltserhöhungen,,Brecha salarial ajustada antes de los aumentos,,Divario retributivo rettificato prima degli aumenti,,Leiðrétt launabil fyrir hækkanir,,Justerad löneskillnad före höjningar,
Adjusted pay gap within group,,FALSE,TRUE,FALSE,PayAnalytics,Adjusted pay gap within group,,Écart salarial ajusté au sein du groupe,,Korrigierter Lohnunterschied innerhalb der Gruppe,,Brecha salarial ajustada dentro del grupo,,Divario retributivo rettificato all'interno del gruppo,,Leiðrétt launabil innan hóps,,Justerat lönegap inom gruppen,
All appointment percentages,,FALSE,TRUE,FALSE,PayAnalytics,All appointment percentages,,Tous les pourcentages de nomination,,Alle Ernennungsprozentsätze,,Todos los porcentajes de nombramiento,,Tutte le percentuali di nomina,,Óháð starfshlutfalli,,Alla procentsatser av utnämningar,
Analyses (for adjusted pay gap comparison),,FALSE,TRUE,FALSE,PayAnalytics,Analyses (for adjusted pay gap comparison),,Analyses (pour la comparaison de l'écart salarial ajusté),,Analysen (Vergleich der bereinigten Lohnlücken),,Análisis (para la comparación de la brecha salarial ajustada),,Analisi (per il confronto del divario retributivo rettificato),,Greiningar (fyrir samanburð á leiðréttu launabili),,Analyser (för justerad löneklyfta),
