Category,Guideline
Language,English (United Kingdom)
Reference language,en-US (American English)
,
--- VOICE & TONE ---,
Formality / Register,"Neutral professional tone, matching en-US but with British English conventions."
Tone,"Same professional, instructional tone as en-US."
Gender inclusivity,"Gender-neutral: workers instead of employees in most contexts, matching en-US."
,
--- SPELLING DIFFERENCES FROM en-US ---,
Spelling,"British spelling: Behaviour (not Behavior), Colour (not Color), organisational (not organizational), labelling (not labeling), Centre (not Center). This is the primary difference from en-US."
,
--- KEY TERMINOLOGY ---,
Terminology mapping,Behaviour (not Behavior); Colour (not Color); organisational (not organizational); Cost Centre (not Cost Center); labelling (not labeling). All other terminology matches en-US.
