term,description,casesensitive,translatable,forbidden,tags,en-US,en-US_description,fr-FR,fr-FR_description,de-DE,de-DE_description,en-GB,en-GB_description,it-IT,it-IT_description,th-TH,th-TH_description,es-ES,es-ES_description,pt-PT,pt-PT_description,ja-JP,ja-JP_description,nl-NL,nl-NL_description,tr-TR,tr-TR_description,id-ID,id-ID_description
Feedback,,no,yes,no,,Feedback,,Feedback,,,,Feedback,,,,ฟีดแบค,,,,,,フィードバック,,,,Geri bildirimler,,Umpan balik,
Achievement,,no,yes,no,,Achievement,,Réussite,,Leistung,,Achievement,,Risultato,,ความสำเร็จ,,Logro,,Conquista,,実績,,Prestatie,,Başarı,,Pencapaian,
Achievement summary,,no,yes,no,,Achievement summary,,Résumé des réalisations,,Zusammenfassung der Leistungen,,Achievement summary,,Riepilogo dei risultati,,สรุปผลงาน,,Resumen de logros,,Resumo de conquistas,,達成概要,,Prestatie-overzicht,,Başarı özeti,,Ringkasan pencapaian,
Additional manager,,no,yes,no,,Additional manager,,Manager supplémentaire,,Zusätzliche Führungskraft,,Additional manager,,Manager aggiuntivo,,ผู้จัดการเพิ่มเติม,,Manager adicional,,Gestor adicional,,追加マネージャー,,Extra leidinggevende,,Ek yönetici,,Manajer tambahan,
Additional review,,no,yes,no,,Additional review,,Bilan supplémentaire,,Zusätzliche Beurteilung,,Additional review,,Revisione aggiuntiva,,การประเมินผลงานเพิ่มเติม,,Evaluación adicional,,Avaliação adicional,,追加レビュー,,Aanvullende beoordeling,,Ek değerlendirme,,Ulasan tambahan,
Alignment,,no,yes,no,,Alignment,,Alignement,,Ausrichtung,,Alignment,,Allineamento,,การปรับให้สอดคล้องกัน,,Alineado,,Alinhamento,,調整,,Afstemming,,Hizalama,,,
Analysis,,no,yes,no,,Analysis,,Analyse,,Analyse,,Analysis,,Analisi,,การวิเคราะห์,,Análisis,,Análise,,分析,,Analyse,,Analiz,,Analisis,
Analytics,,no,yes,no,,Analytics,,Analyses,,Analysen,,Analytics,,Analisi,,การวิเคราะห์,,,,Análises,,分析,,,,,,Analitik,
Anonymization,,no,yes,no,,Anonymization,,Anonymisation,,Anonymisierung,,Anonymisation,,Anonimizzazione,,การไม่ระบุตัวตน,,Anonimización,,Anonimização,,匿名化,,Anonimisering,,Anonimleştirme,,Anonimisasi,
Assign,,no,yes,no,,Assign,,Assigner,,Zuweisen,,Assign,,Assegna,,กำหนด,,Asignar,,Atribuir,,割り当て,,Toewijzen,,Ata,,Tugaskan,
Audit trail,,no,yes,no,,Audit trail,,Journal d'audit,,Prüfprotokoll,,Audit trail,,,,เส้นทางการตรวจสอบ,,Registro de auditoría,,Registo de auditoria,,監査証跡,,Controlelogboek,,Denetim izi,,Jejak audit,
Average score,,no,yes,no,,Average score,,Score moyen,,Durchschnittliche Bewertung,,Average score,,Punteggio medio,,คะแนนเฉลี่ย,,Puntuación media,,Pontuação média,,平均スコア,,Gemiddelde score,,Ortalama puan,,Skor rata-rata,
