term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;th-TH;th-TH_description
About;;no;yes;no;;About;;เกี่ยวกับ;
About my team;;no;yes;no;;About my team;;เกี่ยวกับทีมของฉัน;
Absence;;no;yes;no;;Absence;;การขาดงาน;
Accept;;no;yes;no;;Accept;;ยอมรับ;
Accepted;;no;yes;no;;Accepted;;ยอมรับแล้ว;
Account;;no;yes;no;;Account;;บัญชี;
Achievement;;no;yes;no;;Achievement;;ความสำเร็จ;
Achievement summary;;no;yes;no;;Achievement summary;;สรุปผลงาน;
Action;;no;yes;no;;Action;;การดำเนินการ;
Action required;;no;yes;no;;Action required;;ต้องดำเนินการ;
Actions;;no;yes;no;;Actions;;การดำเนินการ;
Actions required;;no;yes;no;;Actions required;;ต้องดำเนินการ;
Activate;;no;yes;no;;Activate;;เปิดการใช้งาน;
Active;;no;yes;no;;Active;;ใช้งานอยู่;
Active users;;no;yes;no;;Active users;;ผู้ใช้งานที่ใช้งานอยู่;
Actor;;no;yes;no;;Actor;;ผู้ปฏิบัติงาน;
Add;;no;yes;no;;Add;;เพิ่ม;
Add all;;no;yes;no;;Add all;;เพิ่มทั้งหมด;
Add all company;;no;yes;no;;Add all company;;เพิ่มบริษัททั้งหมด;
Add all organizational units;;no;yes;no;;Add all organizational units;;เพิ่มหน่วยงานทั้งหมด;
Add condition;;no;yes;no;;Add condition;;เพิ่มเงื่อนไข;
Add feedback note;;no;yes;no;;Add feedback note;;ร่างฟีดแบค;
Add field;;no;yes;no;;Add field;;เพิ่มฟิลด์;
Add mapping;;no;yes;no;;Add mapping;;เพิ่มการแม็ป;
Add note;;no;yes;no;;Add note;;เพิ่มหมายเหตุ;
Add question;;no;yes;no;;Add question;;เพิ่มคำถาม;
Add skills;;no;yes;no;;Add skills;;เพิ่มทักษะ;
Add step;;no;yes;no;;Add step;;เพิ่มขั้นตอน;
Addition;;no;yes;no;;Addition;;ส่วนเพิ่ม;
Additional Managers;;no;yes;no;;Additional Managers;;หัวหน้างานเพิ่มเติม;
Additional goal description;;no;yes;no;;Additional goal description;;คำอธิบายเป้าหมายเพิ่มเติม;
Additional information;;no;yes;no;;Additional information;;ข้อมูลเพิ่มเติม;
Additional manager;;no;yes;no;;Additional manager;;ผู้จัดการเพิ่มเติม;
Additional managers;;no;yes;no;;Additional managers;;หัวหน้างานเพิ่มเติม;
Additional review;;no;yes;no;;Additional review;;การประเมินผลงานเพิ่มเติม;
Administration;;no;yes;no;;Administration;;การบริหารจัดการ;
Advanced;;no;yes;no;;Advanced;;ขั้นสูง;
After;;no;yes;no;;After;;หลังจาก;
Agenda;;no;yes;no;;Agenda;;กำหนดการ;
Alert;;no;yes;no;;Alert;;การแจ้งเตือน;
Alerts;;no;yes;no;;Alerts;;การแจ้งเตือน;
Aligned with goal;;no;yes;no;;Aligned with goal;;สอดคล้องกับเป้าหมาย;
Alignment;;no;yes;no;;Alignment;;การปรับให้สอดคล้องกัน;
All company;;no;yes;no;;All company;;บริษัททั้งหมด;
